age_year,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
9-10,"study skills, school engagement & academic discipline",Build habit of organizing study space.,Preparing the study area before starting,A ready space reduces delays and distractions.,Create a simple pre-study setup routine.,"['Keep supplies handy', 'Reset daily']","['Clutter workspace', 'Change setup often']",Prepared space invites focus.
9-10,"study skills, school engagement & academic discipline",Encourage perseverance with difficult subjects.,Staying engaged when work feels hard,Persistence builds resilience and mastery.,Break difficulty into smaller attempts.,"['Encourage effort', 'Normalize struggle']","['Allow avoidance', 'Label difficulty as inability']",Hard work grows ability.
9-10,"study skills, school engagement & academic discipline",Support balanced academic expectations.,Balancing schoolwork with rest and play,Balance prevents burnout and improves focus.,Plan study and play time visibly.,"['Protect play time', 'Model balance']","['Overload schedules', 'Use play as punishment']",Balance sustains learning.
9-10,"study skills, school engagement & academic discipline",Encourage self-monitoring of progress.,Tracking completed tasks independently,Visible progress boosts motivation.,Use simple checkmarks or lists.,"['Keep tracking simple', 'Celebrate completion']","['Overtrack', 'Ignore progress']",Seeing progress motivates.
9-10,"study skills, school engagement & academic discipline",Build calm end-of-study routines.,Closing study time with a brief review,Closure reinforces learning and routine.,Ask one takeaway at the end of study.,"['Keep it brief', 'Acknowledge effort']","['Extend sessions', 'Turn closure into testing']",Strong endings reinforce learning.
9-10,"study skills, school engagement & academic discipline",Encourage effective note usage.,Highlighting key points while reading,Identifying essentials improves comprehension and recall.,"Model marking only main ideas, not entire pages.","['Demonstrate briefly', 'Encourage restraint']","['Over-highlight', 'Correct every choice']",Less highlighting means more thinking.
9-10,"study skills, school engagement & academic discipline",Build confidence using planners.,Updating the school planner independently,Planner use supports time management and responsibility.,"Check the planner once daily together, then step back.","['Review briefly', 'Reduce reminders']","['Fill it in for them', 'Ignore missing entries']",The planner is their tool.
9-10,"study skills, school engagement & academic discipline",Support understanding through teaching.,Explaining a lesson to someone else,Teaching reveals gaps and strengthens mastery.,Ask them to teach one concept aloud.,"['Listen fully', 'Ask clarifying questions']","['Interrupt often', 'Correct mid-sentence']",Teaching proves learning.
9-10,"study skills, school engagement & academic discipline",Encourage error analysis.,Identifying why a mistake happened,Understanding errors prevents repetition.,"Ask what step went wrong, not who is wrong.","['Stay neutral', 'Focus on process']","['Blame', 'Rush correction']",Mistakes teach methods.
9-10,"study skills, school engagement & academic discipline",Build reading comprehension habits.,Pausing to predict what comes next while reading,Prediction keeps the mind actively engaged.,Pause occasionally and ask for a quick prediction.,"['Keep it brief', 'Accept all predictions']","['Test constantly', 'Correct guesses']",Prediction activates thinking.
9-10,"study skills, school engagement & academic discipline",Support calm test preparation.,Creating a simple test-day checklist,Preparation reduces anxiety and forgetfulness.,List materials and steps needed for test day.,"['Prepare early', 'Keep checklist short']","['Add last-minute items', 'Create pressure']",Prepared minds feel calmer.
9-10,"study skills, school engagement & academic discipline",Encourage responsible use of technology for learning.,Using digital tools only for assigned study tasks,Purposeful use prevents distraction.,Set clear expectations before device use.,"['Define purpose', 'Check briefly']","['Hover constantly', 'Ignore misuse']",Devices need clear purpose.
9-10,"study skills, school engagement & academic discipline",Build habit of asking follow-up questions.,Clarifying doubts after lessons,Follow-up questions deepen understanding.,Ask what part felt unclear after studying.,"['Encourage curiosity', 'Stay patient']","['Assume clarity', 'Rush answers']",Questions close gaps.
9-10,"study skills, school engagement & academic discipline",Support independent revision planning.,Choosing which subject to revise first,Choice increases ownership and motivation.,Offer two options and let them decide.,"['Respect choice', 'Guide lightly']","['Override decisions', 'Decide daily']",Choice builds commitment.
9-10,"study skills, school engagement & academic discipline",Encourage calm handling of academic pressure.,Using breathing or pauses when feeling overwhelmed,Calm regulation supports focus and persistence.,Teach a simple pause-and-breathe routine.,"['Model calm', 'Practice together']","['Dismiss stress', 'Push through panic']",Calm minds learn better.
9-10,"study skills, school engagement & academic discipline",Build consistency in handwriting practice.,Writing slowly for clarity instead of speed,Clear writing improves communication and marks.,Encourage slowing down for neat lines.,"['Praise clarity', 'Be patient']","['Rush writing', 'Criticize style']",Clarity beats speed.
9-10,"study skills, school engagement & academic discipline",Encourage linking new learning to old knowledge.,Connecting new topics to what is already known,Connections strengthen memory and understanding.,Ask how today’s lesson relates to earlier topics.,"['Encourage links', 'Accept simple answers']","['Overprobe', 'Correct harshly']",Connections make learning stick.
9-10,"study skills, school engagement & academic discipline",Support healthy study posture.,Sitting correctly during study time,Good posture reduces fatigue and improves focus.,Adjust chair and table height together.,"['Check setup', 'Give gentle reminders']","['Nag constantly', 'Ignore discomfort']",Comfort supports concentration.
9-10,"study skills, school engagement & academic discipline",Encourage reflection after learning sessions.,Naming one thing learned each day,Daily reflection reinforces memory.,Ask for one takeaway after study time.,"['Keep it short', 'Acknowledge effort']","['Turn it into testing', 'Skip reflection']",One takeaway is enough.
9-10,"study skills, school engagement & academic discipline",Build independence in problem-solving.,Trying two approaches before asking for help,Effort-first thinking builds resilience.,Set a rule to try twice before asking.,"['Encourage effort', 'Praise attempts']","['Rescue immediately', 'Withhold help too long']","Try first, then ask."
9-10,"study skills, school engagement & academic discipline",Support consistent subject organization.,Keeping subjects in separate folders or sections,Organization saves time and reduces confusion.,Label folders clearly and review weekly.,"['Keep labels simple', 'Review lightly']","['Reorganize daily', 'Ignore mixing']",Clear sections save time.
9-10,"study skills, school engagement & academic discipline",Encourage responsibility for feedback.,Reading teacher feedback carefully,Feedback guides improvement.,Ask what one comment means and how to apply it.,"['Focus on one point', 'Stay constructive']","['Criticize harshly', 'Ignore comments']",Feedback is a guide.
