age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
43-45,creativity and imagination,Make simple jewelry using beads,Enhance hand-eye coordination and creativity,"['Beads, string']",medium,25,indoor
43-45,creativity and imagination,Build vehicles using blocks or LEGO,Encourage imaginative thinking and problem-solving,['Blocks or LEGO'],medium,25,indoor
43-45,creativity and imagination,Draw a fantasy landscape with mountains and rivers,"Promote creativity, observation, and artistic skills","['Paper, crayons, markers']",medium,25,indoor
43-45,creativity and imagination,Create simple animals using cut paper shapes,"Enhance creativity, hand-eye coordination, and fine motor skills","['Colored paper, scissors, glue']",medium,25,indoor
43-45,creativity and imagination,Use colored pencils to create abstract designs,Encourage self-expression and creativity,"['Paper, colored pencils']",medium,20,indoor
43-45,creativity and imagination,Create a mini garden using small plants and pebbles,Enhance imagination and environmental awareness,"['Small plants, pebbles, small containers']",medium,25,both
43-45,creativity and imagination,Build a simple house using blocks,"Promote creativity, problem-solving, and planning",['Blocks or LEGO'],medium,20,indoor
43-45,creativity and imagination,Create a puppet show using paper puppets,"Develop storytelling, creativity, and social skills","['Paper, coloring tools, sticks or straws']",medium,25,indoor
43-45,creativity and imagination,Paint rocks to create colorful designs,Encourage creativity and fine motor skills,"['Rocks, paints, brushes']",medium,25,both
43-45,creativity and imagination,Make a crown or hat using paper and decorations,Develop imagination and crafting skills,"['Paper, scissors, glue, decorations']",medium,20,indoor
43-45,creativity and imagination,Draw and decorate a vehicle of imagination,Enhance creativity and visual-spatial skills,"['Paper, crayons, markers']",medium,25,indoor
43-45,creativity and imagination,Use cotton balls to make cloud pictures,Encourage creativity and sensory exploration,"['Cotton balls, paper, glue, markers']",medium,20,indoor
43-45,creativity and imagination,Create a collage with natural materials like leaves,Develop creativity and observation skills,"['Leaves, paper, glue, markers']",medium,25,outdoor
43-45,creativity and imagination,Act out scenes from favorite books,"Enhance imagination, language, and social skills","['Books, props optional']",medium,25,indoor
43-45,creativity and imagination,Create a simple robot using blocks or recycled materials,Develop creativity and problem-solving skills,"['Blocks or recycled materials, glue/tape']",medium,25,indoor
43-45,creativity and imagination,Paint a picture using fingers and hands,Stimulate creativity and sensory exploration,"['Paint, paper, protective sheet']",medium,20,indoor
43-45,creativity and imagination,Draw favorite foods and pretend to cook them,Encourage imagination and role-play,"['Paper, crayons, markers']",medium,20,indoor
43-45,creativity and imagination,Make paper airplanes and decorate them,"Develop creativity, fine motor skills, and spatial awareness","['Paper, markers or crayons']",medium,15,both
43-45,creativity and imagination,Create a treasure chest from boxes and decorate it,Enhance imaginative play and creativity,"['Small boxes, markers, paper, glue']",medium,25,indoor
43-45,creativity and imagination,Draw a magical garden with flowers and animals,"Encourage creativity, observation, and imagination","['Paper, crayons, markers']",medium,25,indoor
43-45,creativity and imagination,Use pipe cleaners to create shapes or animals,Enhance creativity and fine motor skills,['Pipe cleaners'],medium,20,indoor
43-45,creativity and imagination,Pretend to be different professions using props,Encourage role-play and imagination,['Props for different professions'],medium,25,indoor
43-45,creativity and imagination,Create imaginary animals combining features of different animals,"Develop imagination, creativity, and storytelling","['Paper, crayons, markers']",medium,25,indoor
43-45,creativity and imagination,Decorate a cardboard box as a pretend car,Enhance imaginative play and creativity,"['Cardboard box, markers, stickers']",medium,25,indoor
43-45,creativity and imagination,Create story scenes using figurines or toys,"Develop storytelling, imagination, and sequencing","['Toys, figurines, paper or small props']",medium,25,indoor
43-45,creativity and imagination,Paint and decorate a cardboard crown or tiara,Encourage creativity and imaginative play,"['Cardboard, paints, decorations']",medium,20,indoor
43-45,creativity and imagination,Draw different types of vehicles from imagination,Enhance creativity and visual expression,"['Paper, crayons, markers']",medium,25,indoor
43-45,creativity and imagination,Create a pretend zoo using toys or paper animals,Stimulate imaginative play and organization skills,"['Toy animals, paper cut-outs, trays']",medium,25,indoor
43-45,creativity and imagination,Make paper flowers and arrange them in a vase,"Encourage creativity, fine motor skills, and aesthetic sense","['Paper, scissors, glue, vase']",medium,25,indoor
43-45,montessori sensorial and academic,Count objects up to 10 using beads,Develop counting skills and number recognition,"['Beads, counting tray or string']",medium,15,indoor
43-45,montessori sensorial and academic,Trace numbers from 1 to 10 on sandpaper,Enhance number recognition and tactile learning,"['Sandpaper numbers, tray, finger or stylus']",medium,15,indoor
43-45,montessori sensorial and academic,Match colored rods to corresponding color cards,Improve color recognition and matching skills,"['Colored rods, color cards']",medium,15,indoor
43-45,montessori sensorial and academic,Arrange number cards in sequence from 1 to 10,Enhance sequencing and number recognition,['Number cards 1-10'],medium,15,indoor
43-45,montessori sensorial and academic,"Sort objects by size: small, medium, large",Develop classification and observation skills,['Various objects of different sizes'],medium,15,indoor
43-45,montessori sensorial and academic,Match shapes to corresponding cut-outs,Enhance shape recognition and hand-eye coordination,"['Shape cut-outs, matching board or cards']",medium,15,indoor
43-45,montessori sensorial and academic,Trace letters A to E on sandpaper,Develop letter recognition and tactile writing skills,"['Sandpaper letters, tray, finger or stylus']",medium,15,indoor
43-45,montessori sensorial and academic,Match animal pictures to their silhouettes,Enhance visual discrimination and observation skills,['Animal cards and silhouette cards'],medium,15,indoor
43-45,montessori sensorial and academic,Grade objects by length from shortest to longest,Develop comparison and ordering skills,"['Objects of varying lengths, tray']",medium,15,indoor
43-45,montessori sensorial and academic,Sort colored beads into matching bowls,Enhance color recognition and fine motor skills,"['Colored beads, bowls or cups']",medium,15,indoor
43-45,montessori sensorial and academic,Trace simple shapes on paper using crayons,Develop fine motor skills and shape recognition,"['Paper, crayons, shape templates']",medium,15,indoor
43-45,montessori sensorial and academic,Identify and match sounds using Montessori bells,Enhance auditory discrimination and concentration,['Montessori bells or sound-making instruments'],medium,15,indoor
43-45,montessori sensorial and academic,Trace simple lines and patterns on tracing paper,Improve fine motor control and pre-writing skills,"['Tracing paper, pencil or crayon']",medium,15,indoor
43-45,montessori sensorial and academic,"Sort objects by texture: rough, smooth, soft",Develop sensory discrimination and observation skills,"['Various textured objects, tray']",medium,15,indoor
43-45,montessori sensorial and academic,Match number cards to corresponding quantities of objects,Enhance counting skills and number-object association,"['Number cards, small objects like beads or buttons']",medium,15,indoor
43-45,montessori sensorial and academic,Sort and match colored fabric swatches,Improve color recognition and matching skills,['Fabric swatches in different colors'],medium,15,indoor
43-45,montessori sensorial and academic,Stack rings in order of size,Develop hand-eye coordination and understanding of size,['Stacking rings or cones'],medium,15,indoor
43-45,montessori sensorial and academic,Match pictures of fruits to actual fruits,"Enhance observation, recognition, and cognitive skills","['Fruit cards, real fruits']",medium,15,both
43-45,montessori sensorial and academic,Trace letters F to J on sandpaper,Develop tactile letter recognition and pre-writing skills,"['Sandpaper letters, tray, finger or stylus']",medium,15,indoor
43-45,montessori sensorial and academic,Match objects by weight: light vs heavy,Enhance sensory discrimination and understanding of weight,"['Objects of different weights, tray or scale']",medium,15,indoor
