age_range,domain,activity,goal
8-9,creativity and imagination,Create a 3D paper model of your dream vehicle,"Enhance creativity, design, and craftsmanship"
8-9,creativity and imagination,Invent a magical object and write its story,Encourage fantasy writing and creative thinking
8-9,creativity and imagination,Draw your family as superheroes,Promote imagination and family bonding
8-9,creativity and imagination,Build a diorama of your favorite book scene,Combine artistic skills with literary imagination
8-9,creativity and imagination,Create a secret code language with symbols,Boost problem-solving and linguistic play
8-9,creativity and imagination,Write a bedtime story for younger kids,Encourage empathy and creative storytelling
8-9,creativity and imagination,Make a paper costume and act out a scene,Foster role-play and artistic confidence
8-9,creativity and imagination,Invent a new holiday and describe its customs,Connect imagination with cultural creativity
8-9,creativity and imagination,Create an advertisement for an imaginary invention,Promote persuasive communication and creativity
8-9,creativity and imagination,Write a song about your favorite subject at school,"Blend rhythm, emotion, and learning creatively"
8-9,creativity and imagination,Draw a monster and write a story about how it became friendly,Encourage empathy and imagination
8-9,creativity and imagination,Build a paper rocket and decorate it creatively,"Blend art, physics, and design thinking"
8-9,creativity and imagination,Create a digital drawing using a simple art tool,Introduce digital art and creative confidence
8-9,creativity and imagination,Design your dream zoo and draw the layout,"Combine imagination, planning, and creativity"
8-9,creativity and imagination,Write a silly poem that rhymes in a fun way,Boost humor and linguistic creativity
8-9,creativity and imagination,Invent a snack and describe its ingredients and taste,Encourage culinary imagination and description
8-9,social and emotional,Work together with classmates on a group project,"Develop teamwork, cooperation, and communication skills"
8-9,social and emotional,Practice sharing materials during class or playtime,Foster generosity and consideration for others
8-9,social and emotional,Role-play resolving a disagreement peacefully,Build conflict resolution and emotional regulation skills
8-9,social and emotional,Write a thank-you note to a teacher or friend,Encourage gratitude and appreciation
8-9,social and emotional,List personal strengths and areas for growth,Promote self-awareness and confidence
8-9,social and emotional,Participate in team sports with fair play,"Develop cooperation, respect, and good sportsmanship"
8-9,social and emotional,Help a younger sibling or classmate with a task,Foster empathy and responsibility
8-9,social and emotional,Identify and discuss emotions using emotion cards,Improve emotional vocabulary and understanding
8-9,social and emotional,Reflect on a time you felt proud of yourself,Encourage self-recognition and positive reflection
8-9,social and emotional,Plan and host a class kindness challenge,"Promote empathy, positivity, and community spirit"
8-9,social and emotional,Discuss how to include someone who feels left out,Build inclusion and compassion
8-9,social and emotional,Share favorite hobbies and interests with classmates,Boost confidence and social communication
8-9,social and emotional,Role-play helping a friend who feels sad or worried,Develop empathy and support skills
8-9,social and emotional,Write about a time you showed honesty,Encourage moral development and integrity
